ssx10maa01cp001,ssx10maa01ct001,ssx10lbg40cp920,ssx10mag10cp930,ssx10lca10ct001,ssx10lbg11cp920,ssx10lca20cf001,ssx10pab10cf001,ssx10pab30cf001,ssx10pab10ct001,ssx10pab30ct001,ssx10pab20ct001,ssx10pab60ct001,ssxtg_2ce003,DateTime
10.270994303336,43.8416138876125,30.307893666811,54.9544008333514,44.8908609269337,3495.18800479677,0.506048982187386,104.016115152782,44.3953619529893,29.8123441655754,6.22201963609878,202.072077528382,489.015020605498,3480.19438187511,2024-07-09 16:35:27.154034
10.2709665659259,43.8417367892964,30.3078606998396,54.9541362807057,44.8932475152492,3495.18836298772,0.506160865742807,104.020445261796,44.3953354620149,29.8123020192038,6.22204518829525,201.087810551266,489.021919506433,3480.19474170012,2024-07-09 16:35:27.892078
10.2709350601487,43.8418740007544,30.3078112526491,54.9550673983373,44.8969806104133,3495.18895496549,0.506311854890266,104.022177746284,44.3952935704177,29.8122388035725,6.22221732603385,200.931854802572,489.029907709366,3480.19533282906,2024-07-09 16:35:28.626439
10.2709747502914,43.8419384443571,30.3077782884831,54.9562814676887,44.8995682494306,3495.18946143097,0.506403288003027,104.022544347505,44.3952647515296,29.8121966609576,6.22228678390455,200.582161377365,489.031031209332,3480.19583295773,2024-07-09 16:35:29.358950
10.2710304732721,43.8420553939775,30.3077315954754,54.9572876535755,44.9033604300702,3495.18967384623,0.506525370306306,104.022352308255,44.3952456384569,29.8121369662309,6.22230487155483,199.449975527061,489.031465303534,3480.19604972708,2024-07-09 16:35:30.086347
10.2711611549149,43.8421277177785,30.307695890718,54.956425138112,44.9063573817238,3495.18987725434,0.506634016734004,104.013670597976,44.3952324303204,29.812091319641,6.22228744688208,199.04823926974,489.03188009391,3480.1962516026,2024-07-09 16:35:30.817699
10.2711512680258,43.8422400915392,30.3076492042251,54.9545759437666,44.9103972851657,3495.18993458777,0.506803187101511,104.015534063638,44.3952329705728,29.8120316334551,6.22231587515739,197.995677440876,489.034112052217,3480.1963086997,2024-07-09 16:35:31.551183
10.2712337631687,43.842323795397,30.3076135044626,54.9563779565552,44.9135729717655,3495.18997176722,0.506929778327139,104.0205529926,44.3952402307537,29.8119859934724,6.22231051952427,197.357152348573,489.034247357316,3480.19634432852,2024-07-09 16:35:32.287
10.2712407787394,43.8423965988206,30.3075805522836,54.9562811235162,44.9165678798622,3495.18998184427,0.507036153507822,104.022761067912,44.3952502720282,29.8119438662446,6.22232710543278,196.865167524933,489.035224377891,3480.19635381928,2024-07-09 16:35:33.019100
10.2712342585052,43.8424731844662,30.3075311260542,54.9582816789946,44.9211688985483,3495.1901537268,0.507185208467492,104.023569107728,44.3952599196468,29.8118806784997,6.22236268207072,196.68965285934,489.037084513888,3480.19651127651,2024-07-09 16:35:33.752175
10.2712475391995,43.8424898050237,30.3074981745951,54.9570165528722,44.9243059256822,3495.1904696217,0.507277617077353,104.01893847259,44.3952562859997,29.811838553164,6.22240149222944,196.051495469865,489.038674534384,3480.19682006339,2024-07-09 16:35:34.485796
10.2713182800404,43.8425296012364,30.3074487531532,54.9598410110842,44.9291085190031,3495.19061607304,0.507444863109017,104.013310707315,44.3952606421016,29.8117753723163,6.22243061001608,195.479595000059,489.039844502425,3480.19696113425,2024-07-09 16:35:35.213416
10.2713665085577,43.8425701069572,30.3074158078334,54.9565636774406,44.9323698650981,3495.19061844388,0.507565585177434,104.016519315983,44.3952726481616,29.8117332549057,6.22227345357171,194.967990249466,489.036981770621,3480.19696011868,2024-07-09 16:35:35.938545
10.271285100214,43.8426084130553,30.3073691367227,54.9549985036701,44.9370700395164,3495.19070694037,0.507728880275635,104.022113159787,44.3952851692671,29.8116735908947,6.22210093739508,194.552415035204,489.036187519721,3480.19704307954,2024-07-09 16:35:36.667654
10.2712801218684,43.8426251619009,30.307333447732,54.9559857208007,44.9407219713663,3495.19085676514,0.507843236312939,104.023078987382,44.3952919768248,29.8116279669087,6.22218100208809,193.994226081524,489.041881714628,3480.19718737187,2024-07-09 16:35:37.397752
10.2712636837955,43.8426384998878,30.3073005068778,54.9573026573735,44.944136026337,3495.19094964671,0.507941225068631,104.023837259707,44.3952985937042,29.8115858560035,6.22231919840036,193.529812189035,489.045198236311,3480.19727454692,2024-07-09 16:35:38.124347
10.2713561287048,43.8426229411921,30.3072510951364,54.9584266475802,44.9493256149134,3495.19131370052,0.508092310696637,104.014067093705,44.3952947811578,29.8115226901025,6.22240947134881,193.10702169163,489.042647196128,3480.19762701635,2024-07-09 16:35:38.856117
10.2714409155961,43.8426478235891,30.3072181577218,54.9585848129726,44.952826912907,3495.19125568283,0.508214844322233,104.013593571599,44.395307275003,29.8114805842465,6.2223917914317,193.224412621885,489.039918305656,3480.19757021269,2024-07-09 16:35:39.583958
10.271537417124,43.8426950024252,30.3071687543264,54.959152715739,44.9581403566239,3495.19119273767,0.508399720789237,104.02020980427,44.3953323776227,29.8114174293731,6.22243974742299,192.710255534922,489.040219237898,3480.19750580983,2024-07-09 16:35:40.313298
10.2716020444488,43.8427353864627,30.307135820169,54.9605241117964,44.9617234994677,3495.19115867284,0.508512474922289,104.022782959693,44.395354712986,29.8113753283214,6.22251252241699,192.410166375775,489.04120611782,3480.19747096218,2024-07-09 16:35:41.058893
10.2716518747958,43.8428097322402,30.3070891664232,54.9611705317951,44.9668372780249,3495.19107449844,0.508657353302386,104.023650067161,44.3953964638899,29.8113156892376,6.22257335614308,192.301359924141,489.040188198309,3480.19738616099,2024-07-09 16:35:41.787434
