ssx10maa01cp001,ssx10maa01ct001,ssx10lbg40cp920,ssx10mag10cp930,ssx10lca10ct001,ssx10lbg11cp920,ssx10lca20cf001,ssx10pab10cf001,ssx10pab30cf001,ssx10pab10ct001,ssx10pab30ct001,ssx10pab20ct001,ssx10pab60ct001,ssxtg_2ce003
,,,,,,,,,,,,,,2024-07-09 09:06:33.365976
10.4292101074749,43.8048061790028,30.3271972832436,54.8275339953826,45.2497577855871,3494.49453818475,0.459269755106279,104.002372493570,44.4883600826852,29.8370687951815,6.22339303447751,204.066936711795,490.070408381922,3479.52199989929,2024-07-09 09:06:35.094353
10.2483533910085,43.8224700038517,30.3271616829110,54.9746886690396,45.2503996889671,3494.68048978048,0.453552407875334,104.010166756342,44.4891229201733,29.8370234659151,6.22229994461502,203.930378890938,489.134873789307,3479.70124657753,2024-07-09 09:06:35.812221
10.2616710602994,43.7854574832504,30.3271069138492,54.9985526937351,45.2508988261819,3495.18039920679,0.443810093212942,104.008962614011,44.4647978010175,29.8369538144359,6.22467163025621,204.489972368678,488.120511206898,3480.19070671273,2024-07-09 09:06:36.627780
10.3682813706938,43.7616088401925,30.3270720115730,54.9410327474819,45.2509441636529,3495.34170196151,0.435532020881314,104.003819215476,44.4476506841194,29.8369091059092,6.22794214139539,204.529747017437,487.883947750084,3480.34985002206,2024-07-09 09:06:37.340627
10.4304102479193,43.7787121121766,30.3270233946438,54.8817057119108,45.2506346354586,3495.13523111938,0.416483741160387,104.007004829422,44.4432329552760,29.8368461768430,6.23188856441881,204.872151232562,488.184387998198,3480.14932793302,2024-07-09 09:06:38.056051
10.3481228465461,43.8169721658881,30.3269918114894,54.9230672493485,45.2501675019057,3494.89493567416,0.400523104034977,104.011847090365,44.4528531514299,29.8368051788319,6.23221292091669,204.869864811939,488.609514603701,3479.91360711001,2024-07-09 09:06:38.774525
10.2634142923750,43.8327469994487,30.3269436885967,54.9987951833149,45.2491084380212,3494.93576406597,0.374500760778536,104.009471847410,44.4532867793097,29.8367433891863,6.22919239818766,206.145952787161,489.038917430661,3479.95164675206,2024-07-09 09:06:39.496467
10.2531881303819,43.8303336858957,30.3269064658762,54.9970815917246,45.2479587613308,3495.02403983024,0.352345134163820,104.008708278926,44.4482148336523,29.8366956391375,6.22567450967731,206.193562332644,489.020319985276,3480.03792903539,2024-07-09 09:06:40.216705
10.2637220671521,43.8289907327994,30.3268725334945,54.9665464022671,45.2466287747654,3495.06234899980,0.330488520849048,104.007594112019,44.4439795926829,29.8366520240772,6.22300877129379,206.092906846482,488.790742096148,3480.07550686852,2024-07-09 09:06:40.950784
10.2785962167482,43.8323054147230,30.3268222238029,54.9371381549416,45.2441633967169,3495.05223943244,0.295688708506923,104.005960881747,44.4402073623538,29.8365872575787,6.22197334681492,206.774904081758,488.315374510103,3480.06536940352,2024-07-09 09:06:41.665662
10.2811554660694,43.8361881101534,30.3267887826458,54.9316383880016,45.2422095746629,3495.03232247494,0.271478561376341,104.008365250712,44.4387740020666,29.8365441975454,6.22330230329071,207.520256377045,488.039692107382,3480.04549428519,2024-07-09 09:06:42.393641
10.2804416666695,43.8410480465712,30.3267413162584,54.9447302168089,45.2390212208236,3495.01233836403,0.235946057044490,104.004157505875,44.4370266188733,29.8364831042219,6.22627587273682,208.575400926318,487.881625112616,3480.02535119874,2024-07-09 09:06:43.110279
10.2809025073920,43.8439370637521,30.3267049655945,54.9566507697058,45.2362542873214,3495.00267696067,0.208051414641959,104.015084455343,44.4357159709288,29.8364363325879,6.22782281387780,209.379746227437,487.969904583826,3480.01549805330,2024-07-09 09:06:43.825739
10.2825416173535,43.8463591200081,30.3266714090949,54.9604964785342,45.2334456155115,3494.99381065278,0.181916323079407,104.009744633240,44.4346437305579,29.8363931601485,6.22796946756789,210.605344764400,488.172525360166,3480.00649710802,2024-07-09 09:06:44.540390
10.2852239407837,43.8500729213374,30.3266210957594,54.9549272633306,45.2287926092953,3494.97783215241,0.142154686022140,104.005623678495,44.4334622431589,29.8363284324503,6.22622278939150,211.403683221783,488.547938490648,3479.99041188913,2024-07-09 09:06:45.253326
10.2862709072396,43.8525260856784,30.3265875534697,54.9494336010308,45.2253977689733,3494.96713057209,0.115322649861908,104.014241372612,44.4329141602968,29.8362852858498,6.22461711199774,212.046299975043,488.739242323382,3479.97964954866,2024-07-09 09:06:45.967729
10.2867682194498,43.8556811942575,30.3265400146839,54.9424140139203,45.2201948513222,3494.95439265916,0.0770225707510607,104.001050711336,44.4323156498069,29.8362241459755,6.22281629546217,212.821989243427,488.849915068694,3479.96679625041,2024-07-09 09:06:46.684611
10.2871114501726,43.8576492347773,30.3265036371866,54.9369682898437,45.2159094154293,3494.94757946298,0.0522912410488453,104.018490304481,44.4318941194642,29.8361773706320,6.22221266676516,213.443983217669,488.786821508860,3479.95985787674,2024-07-09 09:06:47.403579
10.2877576070177,43.8591687717761,30.3264700471806,54.9356645640965,45.2117211457667,3494.94266067147,0.0404962635144367,104.001057051692,44.4315296900640,29.8361341855860,6.22232456864620,213.790806715992,488.652597804688,3479.95482248928,2024-07-09 09:06:48.121976
10.2890574505606,43.8612227858554,30.3264196609139,54.9355104706356,45.2050198920074,3494.93557190946,0.0383920361809108,103.962381769109,44.4311184922102,29.8360694142568,6.22328813162468,214.334765695972,488.454231702922,3479.94759676589,2024-07-09 09:06:48.855522
