ssx10maa01cp001,ssx10maa01ct001,ssx10lbg40cp920,ssx10mag10cp930,ssx10lca10ct001,ssx10lbg11cp920,ssx10lca20cf001,ssx10pab10cf001,ssx10pab30cf001,ssx10pab10ct001,ssx10pab30ct001,ssx10pab20ct001,ssx10pab60ct001
10.2753835778173,43.8515744630070,30.3116071291527,45.0988440795539,3495.14480934812,0.496784639148849,104.023025051819,44.4065461709953,29.8170792473263,6.22661051533511,212.057905271570,489.111345555756,3480.15284834906,2024-07-08 15:51:53.389060
10.2750890644587,43.8513949308182,30.3115713134433,45.0964379507011,3495.14546431714,0.496838223256562,104.023573535563,44.4063465739538,29.8170334029942,6.22658843701844,212.311159624619,489.111759502676,3480.15349293961,2024-07-08 15:51:54.148719
10.2748233112833,43.8510935023726,30.3115244765979,45.0930245394952,3495.14667107450,0.496908374010086,104.024329244795,44.4060570765673,29.8169734526039,6.22662212180855,212.970020474683,489.114088965887,3480.15467957602,2024-07-08 15:51:54.885831
10.2745568102846,43.8508326396246,30.3114886626519,45.0902099564797,3495.14763612762,0.496962409607403,104.022451176400,44.4058209028327,29.8169276115229,6.22663261926095,213.382583913761,489.114653329251,3480.15562649735,2024-07-08 15:51:55.604379
10.2743911269636,43.8505868413790,30.3114556055588,45.0874560170197,3495.14843432505,0.497028209768036,104.012838073212,44.4055982222039,29.8168852993920,6.22661392805457,213.703246793130,489.114210405650,3480.15641085342,2024-07-08 15:51:56.330305
10.2741874285155,43.8502172968468,30.3114060239176,45.0830483561659,3495.14945236604,0.497160484593087,104.014005452251,44.4052586101589,29.8168218365876,6.22664093229056,214.224774927720,489.115907170856,3480.15741201638,2024-07-08 15:51:57.052712
10.2740970086623,43.8499807053062,30.3113729716113,45.0799262879705,3495.15004778356,0.497247091438206,104.017468417640,44.4050335289814,29.8167795310915,6.22667694319421,214.531798561010,489.117338746440,3480.15799733273,2024-07-08 15:51:57.769970
10.2740873353978,43.8496919278261,30.3113261520032,45.0752557996516,3495.15055760428,0.497355157197084,104.018600493877,44.4047272015438,29.8167196041725,6.22671883077552,214.799678753745,489.117774510382,3480.15850947621,2024-07-08 15:51:58.498747
10.2739953793852,43.8494898916645,30.3112903515084,45.0714913839826,3495.15090630632,0.497427193748727,104.018057299548,44.4045029247480,29.8166737814337,6.22662237687765,215.070118177681,489.116005064201,3480.15884954328,2024-07-08 15:51:59.217855
10.2739468076033,43.8493083560954,30.3112573050076,45.0678695167015,3495.15131060481,0.497488250068310,104.018375299447,44.4042982230361,29.8166314842417,6.22631261776905,215.407808733371,489.110831939401,3480.15924671742,2024-07-08 15:51:59.939729
10.2737542314453,43.8490939610575,30.3112077397549,45.0621806271663,3495.15160082772,0.497574476706632,104.019872358359,44.4040166951726,29.8165680442780,6.22581775151453,216.274369166083,489.108440581720,3480.15953802289,2024-07-08 15:52:00.673641
10.2735507764826,43.8489123629377,30.3111746956052,45.0582217127558,3495.15218367236,0.497630195945835,104.020501949144,44.4038145956782,29.8165257508796,6.22581275669783,216.679431520837,489.117473836002,3480.16010906874,2024-07-08 15:52:01.396379
10.2732641327815,43.8486175287370,30.3111251302709,45.0520401953170,3495.15315673273,0.497712903740640,104.020929047375,44.4034986870759,29.8164623126207,6.22598892852269,217.002071494477,489.127242746323,3480.16106717230,2024-07-08 15:52:02.118660
10.2731302840253,43.8483925554204,30.3110920873667,45.0477614643420,3495.15394673994,0.497767856112430,104.021392242312,44.4032782953554,29.8164200217769,6.22604435728177,217.467003395146,489.127783424186,3480.16184346131,2024-07-08 15:52:02.834757
10.2730351741588,43.8481884940965,30.3110590479091,45.0433610507783,3495.15448731935,0.497823290118342,104.022003109550,44.4030654458437,29.8163777351749,6.22599520725726,217.961256967471,489.126427069642,3480.16237754959,2024-07-08 15:52:03.556594
10.2728950493866,43.8478757726747,30.3110094907839,45.0365383441394,3495.15535200111,0.497906780042554,104.022820461158,44.4027422469167,29.8163143085464,6.22585108106953,218.325160228435,489.125734692544,3480.16322845185,2024-07-08 15:52:04.273104
10.2727824020611,43.8476722130792,30.3109764547231,45.0318444069989,3495.15587458349,0.497962592473362,104.023271751148,44.4025280632114,29.8162720269597,6.22582500347956,218.796088592722,489.127698382477,3480.16374337147,2024-07-08 15:52:05.003022
10.2726290617981,43.8473809648233,30.3109269034895,45.0245989559768,3495.15653115288,0.498046849205229,104.024010293573,44.4022114111819,29.8162086086443,6.22591022296894,219.186942313460,489.131402444944,3480.16439361377,2024-07-08 15:52:05.728365
10.2725637087152,43.8471985560304,30.3108938721687,45.0196356804168,3495.15692481986,0.498103401216421,104.024553635207,44.4020052308119,29.8161663334970,6.22596403429682,219.649108879097,489.131864234954,3480.16478126592,2024-07-08 15:52:06.448235
10.2725500279297,43.8469907186954,30.3108525843491,45.0132895300516,3495.15736726405,0.498177574991691,104.016136475796,44.4017568691588,29.8161134917470,6.22602092145511,220.118206555022,489.131668313247,3480.16521886626,2024-07-08 15:52:07.171654
10.2724585337651,43.8468053478574,30.3108140507563,45.0072290396286,3495.15779155124,0.498276695483655,104.011530884568,44.4015300548413,29.8160641753312,6.22608251120448,220.528147059528,489.132533508222,3480.16563845207,2024-07-08 15:52:07.901569
10.2723407564109,43.8465973079291,30.3107700143188,45.0001470998327,3495.15831722121,0.498404033383015,104.015517419156,44.4012744998884,29.8160078166589,6.22594243531317,220.802047244547,489.129384673965,3480.16615744636,2024-07-08 15:52:08.632964
