ssx10mag10cp930,ssx10pab20ct001,ssx10pab10ct001,ssxtg_2ce003,ssx10lca10ct001,ssx10pab10cf001,ssx10lbg11cp920,ssx10lbg40cp920,ssx10pab60ct001,ssx10pab30ct001,ssx10maa01cp001,ssx10lca20cf001,ssx10maa01ct001,ssx10pab30cf001,DateTime
10.2835409621029,43.8587162185157,30.3268248555539,54.9317962597951,45.2530390308983,3495.03108223402,0.493617117228038,103.974425655634,44.4721690741591,29.836590651393,6.22157651212316,207.263888039762,488.26919318134,3480.04375095428,2024-07-10 15:48:43.002196
10.2878290093627,43.8602227022004,30.3267858306145,54.9275708465604,45.2513096761891,3495.00905388516,0.493344502357698,103.976177707163,44.4691301900169,29.8365404211504,6.22361332475858,208.088656506531,487.855998423621,3480.02175923038,2024-07-10 15:48:43.739014
10.2861675386702,43.8621422693268,30.3267411507274,54.9430396229513,45.248900776949,3494.99019985648,0.492993288058766,103.977487578147,44.4661162287861,29.8364829390117,6.22704596988639,209.371227065848,487.676067310137,3480.00272441127,2024-07-10 15:48:44.455299
10.2851823411232,43.8630542404428,30.3267019713483,54.9589830007037,45.2464188497819,3494.98225431415,0.492668912605092,103.971233262556,44.4634494530343,29.8364325553626,6.22902927286739,210.150020222325,487.816198811795,3479.99452523643,2024-07-10 15:48:45.179410
10.2858111353038,43.8636481004464,30.326668378518,54.9630911670681,45.2440139790767,3494.97662656508,0.492388189442113,103.987320000127,44.4612632300772,29.8363893613493,6.22906884216242,210.795877780592,488.079834202735,3479.98872397289,2024-07-10 15:48:45.899805
10.2870884982723,43.8646341757371,30.3266235996493,54.9582187260598,45.2404258104937,3494.96763273413,0.491948676780698,103.988984263844,44.4586672735989,29.8363317876214,6.22700662829766,211.704940770221,488.442647482323,3479.9795893398,2024-07-10 15:48:46.624490
10.2871941880764,43.8655614392702,30.3265844161492,54.9471698378263,45.2369281219425,3494.96014378893,0.491747099240806,103.982490423478,44.4566420869423,29.8362814136322,6.22446270390602,212.27224354968,488.637390330826,3479.97199418551,2024-07-10 15:48:47.339135
10.2861196338868,43.8663484205077,30.326539609703,54.9346587825696,45.2325298541604,3494.95463767071,0.492053695129113,103.988254285623,44.454445324999,29.8362238211088,6.22228686683413,213.206975484423,488.681347572361,3479.96633547215,2024-07-10 15:48:48.058199
10.2849219421142,43.8666064177299,30.3265003781605,54.9305744955837,45.2283380328007,3494.95304000477,0.492501440425852,103.998776398177,44.4525274225556,29.8361734036053,6.22150827701819,213.753681283205,488.572700678799,3479.96457349868,2024-07-10 15:48:48.775353
10.2842357985028,43.8665541935667,30.3264667420026,54.9274847111273,45.224494372639,3494.95307480792,0.49288109840689,104.003859596393,44.4508800191799,29.8361301817347,6.22165694461968,214.189374267093,488.425794180877,3479.96446433734,2024-07-10 15:48:49.491849
10.2840115200333,43.866303276878,30.3264218938169,54.9299220731088,45.2190214582405,3494.95347295717,0.493304762694385,104.006171169123,44.448740874332,29.8360725572658,6.22279088882463,214.58918640545,488.278064047298,3479.96469638766,2024-07-10 15:48:50.210560
10.2843353525643,43.8661422412207,30.3263826593815,54.9367638279883,45.2139132044385,3494.95293826124,0.493583299664625,104.008758568782,44.4470044664623,29.836022148838,6.22383021694633,214.893079099703,488.247223789494,3479.96406469064,2024-07-10 15:48:50.935544
10.2848814418227,43.8661258787741,30.3263378254276,54.9364253609136,45.2077208782044,3494.95155933852,0.493806505327344,104.01142348596,44.4452110767805,29.8359645503492,6.22410325258068,215.223359718782,488.313939547546,3479.96261647966,2024-07-10 15:48:51.648323
10.285118700919,43.8662277606564,30.3262985962431,54.935892670606,45.2019990671127,3494.95038554876,0.493932569284316,104.012335494644,44.4437951384505,29.8359141565987,6.22351402229357,215.484331485842,488.440618341204,3479.96139557186,2024-07-10 15:48:52.368697
10.2850072860119,43.866328023084,30.3262649640894,54.927126585213,45.1968766136636,3494.95005748485,0.493998457719155,104.012375510224,44.4426630914288,29.8358709571233,6.22251900008817,215.9283568261,488.564282460531,3479.96102758805,2024-07-10 15:48:53.087381
10.2844818420806,43.8663605264871,30.3262201110173,54.9251200288232,45.1897384399536,3494.95108610415,0.494037200828043,104.01196419575,44.4412135450483,29.8358133505065,6.22124325487845,216.336368411434,488.731393595394,3479.96198449023,2024-07-10 15:48:53.810306
10.2837435542688,43.8661866569612,30.3261696361746,54.9293012280258,45.1813023512946,3494.95410264441,0.494026082389045,104.011204260146,44.4396178625199,29.8357485312942,6.22095039771365,216.893193363605,488.94758664522,3479.96490463056,2024-07-10 15:48:54.656327
10.2834281902931,43.8659342835145,30.3261303743705,54.9376170987561,45.1744484498428,3494.95702773755,0.493986005121382,104.010157796124,44.4384031200139,29.8356981156829,6.22126104434499,217.142271198001,489.06341682068,3479.96775809686,2024-07-10 15:48:55.384301
10.2833736554219,43.8657181829619,30.3260967234281,54.9440291685927,45.1683740818654,3494.95934807695,0.493933076563794,104.008940781029,44.4374079335479,29.8356549067371,6.22150621540355,217.896965135542,489.113703274424,3479.97002919328,2024-07-10 15:48:56.095751
10.2833954511591,43.8654734968947,30.3260518588579,54.9475764964216,45.1599936673829,3494.96207455676,0.493842884798322,104.007046438946,44.4361608322038,29.8355973015176,6.22162928696105,218.603257819757,489.135377145451,3479.97270517679,2024-07-10 15:48:56.811379
10.2833138230262,43.8652867227898,30.3260126022937,54.9486589915774,45.1524074831729,3494.96440940709,0.493748189348241,104.005324072104,44.4351368230884,29.8355468995225,6.22168006056573,219.323291657684,489.136286224875,3479.97500259168,2024-07-10 15:48:57.536721
