ssx10maa01cp001,ssx10maa01ct001,ssx10lbg40cp920,ssx10mag10cp930,ssx10lca10ct001,ssx10lbg11cp920,ssx10lca20cf001,ssx10pab10cf001,ssx10pab30cf001,ssx10pab10ct001,ssx10pab30ct001,ssx10pab20ct001,ssx10pab60ct001,DateTime
10.2802988576226,43.8610784384418,30.3243630235115,44.6856356421347,3495.01876021855,0.492635746630231,103.993841144973,44.4148162967261,29.8334287713031,6.22273689097546,227.033785303955,489.181848423999,3480.02910928788,2024-07-03 16:07:49.137844
10.2803085042721,43.861061291318,30.3243294669259,44.6784162059182,3495.01887045284,0.492595974460262,103.992434392785,44.4147643899565,29.8333856882186,6.22281021752828,227.076119781739,489.185435948174,3480.02921522352,2024-07-03 16:07:49.854255
10.2803596024339,43.8610402890923,30.3242791334459,44.6678369160455,3495.01907719177,0.492474954421471,103.990082280901,44.4146976826886,29.8333210664758,6.22291130188112,226.838903386738,489.188521192628,3480.02941612204,2024-07-03 16:07:50.576451
10.2803559557638,43.8608942861383,30.3238458190901,44.5916662533501,3495.02190248176,0.492105447598986,103.997443963055,44.4143199898867,29.8327647908703,6.22322466884176,223.340832333445,489.20428828484,3480.03215479643,2024-07-03 16:07:58.400444
10.2803346926104,43.8608638129628,30.3238122807407,44.5870579676971,3495.02215704654,0.492273014153858,103.998381764012,44.414288407976,29.8327217387131,6.22322921342906,222.949995069296,489.204080454424,3480.03240152495,2024-07-03 16:07:59.117320
10.280265307083,43.8608089888734,30.3237619750789,44.5805346808551,3495.02259934484,0.492356179676454,103.997186868017,44.414237660537,29.8326571638501,6.22329532113143,222.358994251793,489.206648229512,3480.03283048687,2024-07-03 16:07:59.839979
10.2802344419636,43.8607638706481,30.3237284391995,44.5764540619753,3495.02293365909,0.49233300942443,103.996058295436,44.4142002012863,29.8326141161659,6.22333455783017,221.432358774883,489.207840434401,3480.03315524131,2024-07-03 16:08:00.568025
10.280192383775,43.860715008302,30.3236809339489,44.5710410859606,3495.02325675529,0.492238633600814,103.994337068199,44.4141530254697,29.8325531374081,6.22338243923624,221.50859093235,489.208744918771,3480.03346786827,2024-07-03 16:08:01.288593
10.2802844311922,43.8606742340837,30.3236446070541,44.5672041374928,3495.023578404,0.492141010588119,103.992461405524,44.4141194169499,29.8325065083218,6.22339502434225,220.890654405772,489.209565649527,3480.03377957023,2024-07-03 16:08:02.003046
10.2802981060832,43.8606423769237,30.3236110760901,44.5638889160885,3495.02382513771,0.492038685922217,103.990746357647,44.4140871636353,29.83246346847,6.22341320152686,220.556916817539,489.210418356819,3480.03401974622,2024-07-03 16:08:02.716887
10.2802768933313,43.8606143801308,30.3235607828979,44.5593465475494,3495.0240504192,0.491872902497209,103.988150381236,44.4140472536252,29.8323989135662,6.22353532688393,219.85404939226,489.214085280258,3480.03424014437,2024-07-03 16:08:03.432093
10.2802721296914,43.8605922414972,30.3235272553513,44.5566082788262,3495.02429767748,0.491760224441854,103.986515573953,44.4140200374008,29.832355879243,6.22358145348482,219.618192335727,489.21500193828,3480.03447946669,2024-07-03 16:08:04.153706
10.2802476710404,43.8605539224901,30.323479760028,44.5531339319791,3495.02469189214,0.491598329217894,103.984367479799,44.4139756624925,29.8322949172623,6.22355182686269,218.902181302214,489.213451298748,3480.0348622645,2024-07-03 16:08:04.869953
10.28033421618,43.8605573879504,30.3234434428039,44.5508007391393,3495.02478488231,0.491477026207855,103.982754645765,44.4139590525594,29.8322483032288,6.22361198108129,218.304629762732,489.216120191125,3480.0349536388,2024-07-03 16:08:05.587984
10.2803709451499,43.860545996794,30.3234099195424,44.5488944236007,3495.02501655785,0.491366848456032,103.981162880941,44.4139386382364,29.8322052759243,6.22368089499178,217.514626383484,489.218591548296,3480.03517922015,2024-07-03 16:08:06.317395
10.2804589356012,43.8605262117472,30.3233596371607,44.5464970633637,3495.02541085903,0.491210649625732,103.978722464421,44.4139082708774,29.8321407389528,6.22372640021311,216.435316269534,489.218593652161,3480.03556260193,2024-07-03 16:08:07.036676
10.280522645883,43.860568963008,30.3233261202427,44.5452060791624,3495.02528534891,0.491365823840103,103.98311038866,44.4139091833036,29.8320977202779,6.22377823537486,216.139626461054,489.219897753762,3480.03544007183,2024-07-03 16:08:07.751819
10.2805487008019,43.860589676358,30.3232786359676,44.54380111286,3495.02556835196,0.491820975272221,103.992992890143,44.4139060538447,29.8320367761644,6.22382006150028,215.581402200947,489.221255449993,3480.03571446043,2024-07-03 16:08:08.469248
10.2806579623188,43.8606441594558,30.3232423278724,44.5430666463806,3495.02549500199,0.492122327417278,103.99607443645,44.4139191429407,29.8319901763909,6.22378759398612,214.908554298408,489.220625687047,3480.03564549819,2024-07-03 16:08:09.186038
10.2806965038141,43.8607073469499,30.3232088140849,44.5426557552993,3495.02549886404,0.492300226777039,103.99626187976,44.4139399370131,29.8319471635167,6.22377945234596,213.74590680971,489.221389603851,3480.03564721166,2024-07-03 16:08:09.919661
10.2807304243385,43.8607634685392,30.3231585425598,44.5425474249145,3495.02584423962,0.492399732940185,103.996289894895,44.4139599575755,29.8318826444059,6.22385452193191,213.597804516836,489.225377410014,3480.03598319035,2024-07-03 16:08:10.639888
10.2807250053917,43.8608182205448,30.3231250313993,44.5428202276633,3495.02591848563,0.49238473769774,103.995850726707,44.4139831998955,29.831839635936,6.22384168076446,212.514641792007,489.225478846874,3480.03605568378,2024-07-03 16:08:11.359338
