ssx10maa01cp001,ssx10maa01ct001,ssx10lbg40cp920,ssx10mag10cp930,ssx10lca10ct001,ssx10lbg11cp920,ssx10lca20cf001,ssx10pab10cf001,ssx10pab30cf001,ssx10pab10ct001,ssx10pab30ct001,ssx10pab20ct001,ssx10pab60ct001,ssxtg_2ce003,DateTime
10.2601831737820,43.8183797274085,30.2773456494531,55.0153688214499,44.9485631653700,3495.48746224308,0.505707189666705,103.994672780335,44.3718682357144,29.7733582670790,6.22667385946705,192.452621506400,489.190886362249,3480.49036947418,2024-07-09 16:44:53.694876
10.2601473552515,43.8182995334818,30.2772980244978,55.0154701308671,44.9558255075396,3495.48537711019,0.505995973572370,103.998927341264,44.3718076344956,29.7732975803460,6.22675049788613,192.638642906420,489.190838636488,3480.48829509346,2024-07-09 16:44:54.459736
10.2600939070202,43.8182466090180,30.2772662660023,55.0149846964504,44.9605839254951,3495.48505005566,0.506201588690863,104.002036483403,44.3717675774016,29.7732571142969,6.22680012580766,193.140889606517,489.190802381096,3480.48796493605,2024-07-09 16:44:55.213684
10.2599430614505,43.8181116660208,30.2772186197158,55.0143345371102,44.9675814073914,3495.48574950834,0.506526220013908,104.006921098969,44.3716822245805,29.7731964064108,6.22687257150588,193.370813799799,489.190745961453,3480.48864959177,2024-07-09 16:44:55.997415
10.2598189957555,43.8180327291639,30.2771868579079,55.0141383529534,44.9721494408153,3495.48616071607,0.506750927075179,104.010310334784,44.3716268702992,29.7731559374064,6.22691963543740,193.500602706596,489.190711333014,3480.48905670486,2024-07-09 16:44:56.758303
10.2596718087128,43.8178534742995,30.2771392133711,55.0142951462400,44.9788391602412,3495.48718867992,0.507100201730963,104.015277634815,44.3715130170468,29.7730952324488,6.22698838495044,194.650992471655,489.190663828653,3480.49007186319,2024-07-09 16:44:57.529179
10.2596121433270,43.8177554239080,30.2771074549328,55.0144909631264,44.9831885432357,3495.48769644446,0.507337393320431,104.018752132368,44.3714426069466,29.7730547679684,6.22703293557410,195.047677233640,489.190628984415,3480.49057105469,2024-07-09 16:44:58.272294
10.2595518007742,43.8176028490726,30.2770598183326,55.0149413727588,44.9895393386669,3495.48843727221,0.507697402312107,104.023961006958,44.3713297541638,29.7729940729269,6.22709784537455,195.219164265999,489.190573905469,3480.49130454578,2024-07-09 16:44:59.074900
10.2595752256511,43.8174866710515,30.2770148315790,55.0154912393289,44.9953364983645,3495.48897703613,0.508051619536665,104.016553276422,44.3712304215408,29.7729367542722,6.22715709541427,196.065232599550,489.190525298479,3480.49184213875,2024-07-09 16:44:59.838772
10.2594971501736,43.8174106281124,30.2769804323301,55.0156142492735,44.9996349567655,3495.48935968606,0.508356271314467,104.017586523905,44.3711580615511,29.7728929254540,6.22720097096333,196.343026961031,489.190484577773,3480.49222189124,2024-07-09 16:45:00.625492
10.2594444212772,43.8172819367222,30.2769328038402,55.0155572289147,45.0053884465506,3495.49006483405,0.508705404557279,104.019356379453,44.3710454895355,29.7728322413273,6.22725993310572,196.462977094936,489.190428447171,3480.49291949911,2024-07-09 16:45:01.364533
10.2593908341697,43.8172013393005,30.2769010528703,55.0156023469034,45.0090929999019,3495.49055192903,0.508469153778486,104.005069106616,44.3709713223504,29.7727917872384,6.22729810376860,196.755159617070,489.190390548997,3480.49340053259,2024-07-09 16:45:02.105557
10.2592923817533,43.8170905379402,30.2768534293212,55.0152997813115,45.0144475982131,3495.49116892186,0.507685221244332,103.987858934765,44.3708623857294,29.7727311098110,6.22735361490072,197.617723097547,489.190329884438,3480.49401364483,2024-07-09 16:45:02.859496
10.2591999286295,43.8169932322834,30.2768216803422,55.0145213292370,45.0178794465625,3495.49176497498,0.507111415421297,103.984076661682,44.3707787712419,29.7726906586968,6.22738945968774,197.829092672560,489.190287353548,3480.49460209622,2024-07-09 16:45:03.657137
10.2589940281005,43.8168423762028,30.2767740596898,55.0135257189357,45.0228163752473,3495.49263738753,0.506379252683057,103.976781379225,44.3706489746628,29.7726299857530,6.22744163152430,198.617934504056,489.190223682390,3480.49546359264,2024-07-09 16:45:04.552135
10.2587644311744,43.8166695624836,30.2767264419999,55.0134246735854,45.0274946895973,3495.49352595144,0.505838804332145,103.981994206261,44.3705095268990,29.7725693168128,6.22749205040112,199.129423969187,489.190164104217,3480.49634133100,2024-07-09 16:45:05.294146
10.2586544998636,43.8165206651472,30.2766946966469,55.0133779957409,45.0304672772031,3495.49431839041,0.505556971910993,103.982951734730,44.3703973563345,29.7725288710752,6.22752466510864,199.522242155039,489.190129316614,3480.49712136750,2024-07-09 16:45:06.054045
10.2585622049050,43.8163113173093,30.2766470835999,55.0136449167836,45.0347008486258,3495.49523473468,0.505245876044526,103.977088630909,44.3702331929752,29.7724682086125,6.22757198574532,199.634326807190,489.190077223865,3480.49802594625,2024-07-09 16:45:06.810965
10.2585219017498,43.8161831215868,30.2766153439919,55.0138082837714,45.0373713990781,3495.49571189284,0.505112087720902,103.979309859542,44.3701226300182,29.7724277700925,6.22760247481444,200.351016082789,489.190045000238,3480.49849889579,2024-07-09 16:45:07.552984
10.2584607271613,43.8160007577676,30.2765677371155,55.0142648713221,45.0411428694146,3495.49639303821,0.504979342884509,103.990736820272,44.3699573054433,29.7723671158422,6.22764670272313,200.669335122704,489.190004010916,3480.49917323176,2024-07-09 16:45:08.288046
10.2584135679062,43.8158690097802,30.2765359996537,55.0140435062510,45.0434991162239,3495.49695358379,0.504927611857874,103.989931907085,44.3698408155490,29.7723266806535,6.22767521423087,201.344079417637,489.189982311872,3480.49972662129,2024-07-09 16:45:09.039010
10.2583240202535,43.8157213866881,30.2764883990907,55.0141083989829,45.0467925094322,3495.49743640371,0.504916717833143,103.986596354159,44.3696843887413,29.7722660347569,6.22771660887259,201.550308329724,489.189959407514,3480.50020760874,2024-07-09 16:45:09.768116
10.2582627551191,43.8156319781659,30.2764566667135,55.0142286626617,45.0488243017583,3495.49775486078,0.504954150179972,103.987837877906,44.3695832514928,29.7722256060717,6.22774333496062,202.242239949826,489.189951215246,3480.50052496002,2024-07-09 16:45:10.535956
10.2581860888349,43.8154849749772,30.2764090688137,55.0143999637631,45.0516240241135,3495.49843246762,0.505070350824558,103.991598968476,44.3694257820947,29.7721649645054,6.22778209290838,202.525582325972,489.189948932777,3480.50119547769,2024-07-09 16:45:11.272015
10.2581318504508,43.8153908533135,30.2763773384078,55.0140424522975,45.0533214967937,3495.49885941806,0.505182002616021,103.993370251946,44.3693219536145,29.7721245388653,6.22780701087688,203.182016800225,489.189952767380,3480.50161983289,2024-07-09 16:45:11.999133
10.2579906402978,43.8152553764050,30.2763297453460,55.0132225170293,45.0556113096353,3495.49945836875,0.505391004719318,103.996016425891,44.3691681031612,29.7720639039128,6.22784308073199,203.411377957268,489.189968623045,3480.50221640197,2024-07-09 16:45:12.756050
10.2578550264718,43.8151441855501,30.2762980174982,55.0127879715856,45.0569639858628,3495.50004945040,0.505553000034600,103.998473966372,44.3690569004922,29.7720234820041,6.22786635117614,204.044141349952,489.189986491400,3480.50279769765,2024-07-09 16:45:13.505114
10.2576557859213,43.8149648676830,30.2762504273830,55.0127546004427,45.0587292768126,3495.50093215212,0.505822705207085,104.002629811010,44.3688835990460,29.7719628516066,6.22790017982174,204.267856509555,489.190025733351,3480.50366920911,2024-07-09 16:45:14.245145
10.2575560140390,43.8148206373608,30.2762187005723,55.0126171575049,45.0597283067955,3495.50164839747,0.506016679794877,104.005364361705,44.3687600449094,29.7719224317129,6.22792200041870,204.946177454692,489.190054837092,3480.50437637089,2024-07-09 16:45:15.011003
10.2572046222081,43.8142106303185,30.2760759563411,55.0122088631542,45.0624345216394,3495.50391424757,0.506977062714022,104.018406918395,44.3681820600090,29.7717405757857,6.22801225889074,206.832295758477,489.189999183719,3480.50661581252,2024-07-09 16:45:17.670863
10.2571195410891,43.8140203077406,30.2760310222849,55.0119111344666,45.0626724337448,3495.50464413610,0.507296471350875,104.022620872779,44.3679959240299,29.7716833307881,6.22802806084107,207.577752844046,489.189785370840,3480.50733760239,2024-07-09 16:45:18.400968
